model,version,table,field,type,length,precision,scale,default
pcornet,v4,procedures,admit_date,date,,,,
pcornet,v4,procedures,enc_type,string,2,,,
pcornet,v4,procedures,encounterid,string,,,,
pcornet,v4,procedures,patid,string,,,,
pcornet,v4,procedures,proceduresid,string,,,,
pcornet,v4,procedures,providerid,string,,,,
pcornet,v4,procedures,px,string,11,,,
pcornet,v4,procedures,px_date,date,,,,
pcornet,v4,procedures,px_source,string,2,,,
pcornet,v4,procedures,px_type,string,2,,,
pcornet,v4,procedures,raw_px,string,,,,
pcornet,v4,procedures,raw_px_type,string,,,,
pcornet,v4,procedures,ppx,string,,,,
pcornet,v4,procedures,raw_ppx,string,,,,
