model,version,table,field,type,length,precision,scale,default
pedsnet,v4.8,concept,concept_class_id,string,50,,,
pedsnet,v4.8,concept,concept_code,string,256,,,
pedsnet,v4.8,concept,concept_id,integer,,,,
pedsnet,v4.8,concept,concept_name,string,512,,,
pedsnet,v4.8,concept,domain_id,string,20,,,
pedsnet,v4.8,concept,invalid_reason,string,1,,,
pedsnet,v4.8,concept,standard_concept,string,1,,,
pedsnet,v4.8,concept,valid_end_date,date,,,,
pedsnet,v4.8,concept,valid_start_date,date,,,,
pedsnet,v4.8,concept,vocabulary_id,string,20,,,
