model,version,table,field,type,length,precision,scale,default
pcornet,v6.1,procedures,admit_date,date,,,,
pcornet,v6.1,procedures,enc_type,string,2,,,
pcornet,v6.1,procedures,encounterid,string,,,,
pcornet,v6.1,procedures,patid,string,,,,
pcornet,v6.1,procedures,proceduresid,string,,,,
pcornet,v6.1,procedures,providerid,string,,,,
pcornet,v6.1,procedures,px,string,11,,,
pcornet,v6.1,procedures,px_date,date,,,,
pcornet,v6.1,procedures,px_source,string,2,,,
pcornet,v6.1,procedures,px_type,string,2,,,
pcornet,v6.1,procedures,raw_px,string,,,,
pcornet,v6.1,procedures,raw_px_type,string,,,,
pcornet,v6.1,procedures,ppx,string,2,,,
pcornet,v6.1,procedures,raw_ppx,string,,,,
