model,version,table,field,type,length,precision,scale,default
pcornet,v3,pro_cm,encounterid,string,,,,
pcornet,v3,pro_cm,patid,string,,,,
pcornet,v3,pro_cm,pro_cat,string,2,,,
pcornet,v3,pro_cm,pro_cm_id,string,,,,
pcornet,v3,pro_cm,pro_date,date,,,,
pcornet,v3,pro_cm,pro_item,string,7,,,
pcornet,v3,pro_cm,pro_loinc,string,10,,,
pcornet,v3,pro_cm,pro_method,string,2,,,
pcornet,v3,pro_cm,pro_mode,string,2,,,
pcornet,v3,pro_cm,pro_response,integer,8,,,
pcornet,v3,pro_cm,pro_time,string,5,,,
pcornet,v3,pro_cm,raw_pro_code,string,,,,
pcornet,v3,pro_cm,raw_pro_response,string,,,,
