model,version,table,description
pedsnet,v5.7,care_site,Information about the site of care 
pedsnet,v5.7,concept,"The CONCEPT table contains records that uniquely identify each fundamental unit of meaning used to express clinical information. Concepts are derived from source vocabularies, which represent clinical information across different domains (e.g. conditions, drugs, procedures) through the use of source codes and associated descriptions. Some concepts are designated as standard concepts, meaning these concepts can be used within the OMOP Common Data Model and within standardized analytics. Each standard concept has a primary domain, which defines the location where the concept would be expected to be observed within OMOP Common Data Model. "
pedsnet,v5.7,concept_ancestor,"The CONCEPT_ANCESTOR table contains records that define the inferred hierarchical relationships between all standard concepts. The concept ancestor table is fully derived from the concept, CONCEPT_RELATIONSHIP, and relationship tables, whereby all ancestor-descendant relationships can be inferred from traversing all parent-child relationships between standard concepts. The concept ancestor table includes records for all parent-child relationships, as well as grandparent-grandchild relationships and additional levels of lineage. The concept ancestor table enables efficient identification of multi-step hierarchical relationships, such as branded drugs that fall within a therapeutic class or specific diagnosis that are classified within a particular system organ class. "
pedsnet,v5.7,concept_class,The CONCEPT_CLASS table includes a list of the classifications used to differentiate concepts within a given vocabulary. This reference table is populated with a single record for each concept class and includes a descriptive name for the concept class. 
pedsnet,v5.7,concept_relationship,"The CONCEPT_RELATIONSHIP table contains records that define direct relationships between any two concepts and the nature of the relationship. The type of relationship is defined in the Relationship table, and is generally classified as hierarchical (parent-child) or non-hierarchical (lateral). All relationships are directional, and each concept relationship is represented twice symmetrically within the concept relationship table. 'Acute myocardial infarction of the anterior wall'and 'Acute myocardial infarction'have two concept relationships: 1- 'Acute myocardial infarction of the anterior wall""is a""Acute myocardial infarction', and 2- 'Acute myocardial infarction""subsumes""Acute myocardial infarction of the anterior wall'"
pedsnet,v5.7,concept_synonym,The CONCEPT_SYNONYM table is used to store alternate names and descriptions for a concept. Each synonym is assigned its own unique identifier and contains the text of a description and the identifier of the concept that it represents.
pedsnet,v5.7,condition_occurrence,A diagnosis or condition that has been recorded about a person at a certain time 
pedsnet,v5.7,death,Time and cause of death of the Person 
pedsnet,v5.7,domain,The DOMAIN table includes a list of the domains of data elements that are contained within the OMOP common data model. A domain defines the set of allowable concepts for each standardized field. This reference table is populated with a single record for each domain and includes a descriptive name for the Domain. 
pedsnet,v5.7,drug_exposure,The drug exposure domain captures any biochemical substance that is introduced in any way to a patient.
pedsnet,v5.7,drug_strength,The DRUG_STRENGTH table contains structured content about the amount or concentration and associated units of a specific ingredient within a particular drug product. The drug strength table is a supplemental file to support standardized analysis of drug utilization using concepts from the RxNorm vocabulary. A clinical drug concept which contains multiple active ingredients will result in one drug strength record for each active ingredient.
pedsnet,v5.7,fact_relationship,"The fact relationship domain contains details of the relationships between facts within one domain or across two domains, and the nature of the relationship."
pedsnet,v5.7,location,"Physical addresses of patients, organizations and care sites "
pedsnet,v5.7,measurement,The measurement domain captures measurement orders and measurement results. The measurement domain can contain laboratory results and vital signs.
pedsnet,v5.7,measurement_organism,The measurement organism table contains organism information related to laboratory culture results in the measurement table.
pedsnet,v5.7,observation,"Observations are clinical facts, such as laboratory tests, signs/symptoms, which are not captured within other CDM tables"
pedsnet,v5.7,observation_period,"Time intervals during which health care information, such as drugs, conditions, and other clinical observations, may be available "
pedsnet,v5.7,person,Demographic information about a Person 
pedsnet,v5.7,procedure_occurrence,Procedures carried out on the Person
