model,version,table,field,type,length,precision,scale,default
pedsnet,v4.2,measurement,measurement_concept_id,integer,,,,
pedsnet,v4.2,measurement,measurement_date,date,,,,
pedsnet,v4.2,measurement,measurement_id,biginteger,,,,
pedsnet,v4.2,measurement,measurement_source_concept_id,integer,,,,
pedsnet,v4.2,measurement,measurement_source_value,string,,,,
pedsnet,v4.2,measurement,measurement_datetime,datetime,,,,
pedsnet,v4.2,measurement,measurement_type_concept_id,integer,,,,
pedsnet,v4.2,measurement,operator_concept_id,integer,,,,
pedsnet,v4.2,measurement,person_id,biginteger,,,,
pedsnet,v4.2,measurement,provider_id,biginteger,,,,
pedsnet,v4.2,measurement,range_high,number,,,,
pedsnet,v4.2,measurement,range_low,number,,,,
pedsnet,v4.2,measurement,unit_concept_id,integer,,,,
pedsnet,v4.2,measurement,unit_source_value,string,,,,
pedsnet,v4.2,measurement,value_as_concept_id,integer,,,,
pedsnet,v4.2,measurement,value_as_number,number,,,,
pedsnet,v4.2,measurement,value_source_value,string,,,,
pedsnet,v4.2,measurement,visit_occurrence_id,biginteger,,,,
pedsnet,v4.2,measurement,range_low_source_value,string,,,,
pedsnet,v4.2,measurement,range_low_operator_concept_id,integer,,,,
pedsnet,v4.2,measurement,range_high_source_value,string,,,,
pedsnet,v4.2,measurement,range_high_operator_concept_id,integer,,,,
pedsnet,v4.2,measurement,measurement_order_date,date,,,,
pedsnet,v4.2,measurement,measurement_order_datetime,datetime,,,,
pedsnet,v4.2,measurement,measurement_result_date,date,,,,
pedsnet,v4.2,measurement,measurement_result_datetime,datetime,,,,
pedsnet,v4.2,measurement,specimen_source_value,string,,,,
pedsnet,v4.2,measurement,priority_concept_id,integer,,,,
pedsnet,v4.2,measurement,priority_source_value,string,,,,
pedsnet,v4.2,measurement,specimen_concept_id,integer,,,,
